STATE,STATE Name,CNTY,CNTY Name,Deleted,Valid Until,Type
08,Niigata / 新潟,0814,Naoetsu / 直江津,true,"Apr.28,1971",City
08,Niigata / 新潟,0815,Tochio / 栃尾,true,"Dec.31,2005,City
08,Niigata / 新潟,0816,Itoigawa / 糸魚川,false,,City
08,Niigata / 新潟,0817,Arai / 新井,true,"Mar.31,2005",City
08,Niigata / 新潟,0818,Gosen / 五泉,false,,City
08,Niigata / 新潟,0819,Ryotsu / 両津,true,"Feb.29,2004",City
08,Niigata / 新潟,0820,Shirone / 白根,true,"Mar.20,2005",City
08,Niigata / 新潟,0821,Toyosaka / 豊栄,true,"Mar.20,2005",City
08,Niigata / 新潟,0822,Joetsu / 上越,false,,City
08,Niigata / 新潟,0823,Agano / 阿賀野,false,,City
08,Niigata / 新潟,0824,Sado / 佐渡,false,,City
08,Niigata / 新潟,0825,Uonuma / 魚沼,false,,City
08,Niigata / 新潟,0826,Minamiuonuma / 南魚沼,false,,City
08,Niigata / 新潟,0827,Myoko / 妙高,false,,City
08,Niigata / 新潟,0828,Tainai / 胎内,false,,City
09,Nagano / 長野,09001,Kamiina / 上伊那,false,,Gun
09,Nagano / 長野,09002,Kamitakai / 上高井,false,,Gun
09,Nagano / 長野,09003,Kamiminochi / 上水内,false,,Gun
09,Nagano / 長野,09004,Kiso / 木曽,false,,Gun
09,Nagano / 長野,09005,Kitaazumi / 北安曇,false,,Gun
09,Nagano / 長野,09006,Kitasaku / 北佐久,false,,Gun
09,Nagano / 長野,09007,Sarashina / 更級,true,"Dec.31,2004",Gun
09,Nagano / 長野,09008,Shimoina / 下伊那,false,,Gun
09,Nagano / 長野,09009,Shimotakai / 下高井,false,,Gun
09,Nagano / 長野,0901,Nagano / 長野,false,,City
09,Nagano / 長野,09010,Shimominochi / 下水内,false,,Gun
09,Nagano / 長野,09011,Suwa / 諏訪,false,,Gun
09,Nagano / 長野,09012,Chiisagata / 小県,false,,Gun
09,Nagano / 長野,09013,(Reserved) / (欠番）,true,,Gun
09,Nagano / 長野,09014,Hanishina / 埴科,false,,Gun
09,Nagano / 長野,09015,Higashichikuma / 東筑摩,false,,Gun
09,Nagano / 長野,09016,Minamiazumi / 南安曇,true,"Sep.30,2005",Gun
09,Nagano / 長野,09017,Minamisaku / 南佐久,false,,Gun
09,Nagano / 長野,0902,Matsumoto / 松本,false,,City
09,Nagano / 長野,0903,Ueda / 上田,false,,City
09,Nagano / 長野,0904,Okaya / 岡谷,false,,City
09,Nagano / 長野,0905,Iida / 飯田,false,,City
09,Nagano / 長野,0906,Suwa / 諏訪,false,,City
09,Nagano / 長野,0907,Suzaka / 須坂,false,,City
09,Nagano / 長野,0908,Komoro / 小諸,false,,City
09,Nagano / 長野,0909,Ina / 伊那,false,,City
09,Nagano / 長野,0910,Komagane / 駒ヶ根,false,,City
09,Nagano / 長野,0911,Nakano / 中野,false,,City
09,Nagano / 長野,0912,Omachi / 大町,false,,City
09,Nagano / 長野,0913,Iiyama / 飯山,false,,City
09,Nagano / 長野,0914,Chino / 茅野,false,,City
09,Nagano / 長野,0915,Shiojiri / 塩尻,false,,City
09,Nagano / 長野,0916,Shinonoi / 篠ノ井,true,"Oct.15,1966",City
09,Nagano / 長野,0917,Koshoku / 更埴,true,"Aug.31,2003",City
09,Nagano / 長野,0918,Saku / 佐久,false,,City
09,Nagano / 長野,0919,Chikuma / 千曲,false,,City
09,Nagano / 長野,0920,Toumi / 東御,false,,City
09,Nagano / 長野,0921,Azumino / 安曇野,false,,City
10,Tokyo / 東京,10001,Kitatama / 北多摩,true,"Nov.2,1970",Gun
10,Tokyo / 東京,10002,Nishitama / 西多摩,false,,Gun
10,Tokyo / 東京,10003,Minamitama / 南多摩,true,"Oct.31,1971",Gun
10,Tokyo / 東京,10004,Oshima-Shicho / 大島支庁,false,,Gun
10,Tokyo / 東京,10005,Miyake-Shicho / 三宅支庁,false,,Gun
10,Tokyo / 東京,10006,Hachijo-Shicho / 八丈支庁,false,,Gun
10,Tokyo / 東京,10007,Ogasawara-Shicho / 小笠原支庁,false,,Gun
10,Tokyo / 東京,100101,Chiyoda / 千代田,false,,City
10,Tokyo / 東京,100102,Chuo / 中央,false,,City
10,Tokyo / 東京,100103,Minato / 港,false,,City
10,Tokyo / 東京,100104,Shinjuku / 新宿,false,,City
